method,parent_id,parent_smiles,product_smiles,transform,nearest_original_id,nearest_original_smiles,max_tanimoto_to_any_original,similarity_to_assigned_parent,similarity_bucket
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1cc(Cl)cc(C)c1OC,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.1795,0.3667,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,COc1cc2nccc(-c3cc4nccc(-c5cc6nccc(OC)c6s5)c4s3)c2s1,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2209,0.3111,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,COc1cc2nccc(-c3cc4nccc(-c5ccnc6cc(OC)sc56)c4s3)c2s1,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2469,0.3415,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,COc1cc2nccc(-c3cc4nccc(OC)c4s3)c2s1,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2209,0.3111,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,COc1cc2nccc(-c3ccnc4cc(-c5cc6nccc(OC)c6s5)sc34)c2s1,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2353,0.3111,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,COc1cc2nccc(-c3ccnc4cc(OC)sc34)c2s1,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2632,0.3889,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,COc1cc2nccc(OC)c2s1,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.1975,0.3784,low
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],COc1ccccc1-c1ccccc1-c1ccccc1OC,core_plus_one_side_fragment,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,0.1905,0.2273,low
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],COc1ccccc1-c1ccccc1OC,core_plus_one_side_fragment,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,0.1935,0.2381,low
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],COc1ccccc1OC,core_plus_one_side_fragment,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,0.2034,0.2778,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,COc1ccnc2cc(-c3cc4nccc(-c5cc6nccc(OC)c6s5)c4s3)sc12,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2289,0.3333,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,COc1ccnc2cc(-c3cc4nccc(OC)c4s3)sc12,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.1975,0.3784,low
fragment_growing,[16*]c1c([16*])c([16*])c(O)c(O)c1[16*],[16*]c1c([16*])c([16*])c(O)c(O)c1[16*],C[C@H]1CNCC[C@H]1c1c(O)c(O)c([C@@H]2CCNC[C@@H]2C)c([C@@H]2CCNC[C@@H]2C)c1[C@@H]1CCNC[C@@H]1C,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.1875,0.129,low
