variant,feature_set,model,eval,mae,rmse,r2
raw,base,extra,loocv,0.7074595352564111,0.9466337465921733,0.29520615599868516
raw,base,rf,loocv,0.8646480317078739,1.0140010600270337,0.19132325394444794
raw,base,knn1,loocv,0.7523076923076922,1.1179238999832888,0.017069935461712427
raw,base,knn3d,loocv,0.6666935000290599,1.0683535170074734,0.10230644951658496
raw,base,svr,loocv,0.7520125923213037,0.9940987706821118,0.22275630024706072
raw,base,gpr,loocv,0.958535700524754,1.1423188203027959,-0.026296389515398033
raw,base,extra_train,train_fit,0.17679487179489256,0.3682242558062988,0.8933593157211092
raw,base,rf_train,train_fit,0.3891277229853364,0.47705849337018824,0.8210047931975235
raw,base,knn1_train,train_fit,0.1042307692307692,0.39223717314910367,0.878997139401002
raw,graph,extra,loocv,0.6792878205128267,0.9175549862239317,0.3378409240115049
raw,graph,rf,loocv,0.7636302152014629,0.916054045619483,0.34000547780313195
raw,graph,knn1,loocv,0.9161538461538462,1.4423965100857987,-0.6363170768115105
raw,graph,knn3d,loocv,0.7642087659782617,1.1339499667042652,-0.011313773451189668
raw,graph,svr,loocv,0.9162589747262159,1.1240387494781419,0.006287613837880346
raw,graph,gpr,loocv,0.9862801915313073,1.1354456107268007,-0.013983314361273091
raw,graph,extra_train,train_fit,0.17679487179489256,0.3682242558062988,0.8933593157211092
raw,graph,rf_train,train_fit,0.3529974198717825,0.45024366588719933,0.840561441026642
raw,graph,knn1_train,train_fit,0.1042307692307692,0.39223717314910367,0.878997139401002
raw,base_graph,extra,loocv,0.6616636217948747,0.8887719370093189,0.37873225928177434
raw,base_graph,rf,loocv,0.8151326098901079,0.954833475559258,0.2829434454344435
raw,base_graph,knn1,loocv,0.7230769230769231,1.1046753787007713,0.040229303996147214
raw,base_graph,knn3d,loocv,0.7800037431378926,1.1687073227141334,-0.07426064850091207
raw,base_graph,svr,loocv,0.7429782574353824,0.9302552745737978,0.3193835848484895
raw,base_graph,gpr,loocv,0.9176529191085602,1.0959570979842592,0.05531886146539655
raw,base_graph,extra_train,train_fit,0.17679487179489256,0.3682242558062988,0.8933593157211092
raw,base_graph,rf_train,train_fit,0.36447886034797244,0.456068601483976,0.8364093475404333
raw,base_graph,knn1_train,train_fit,0.21153846153846154,0.5528457845895739,0.7596156765990855
raw,morgan512,extra,loocv,0.816005208333337,1.0946649801245643,0.05754507965371203
raw,morgan512,rf,loocv,0.8841031301510982,1.044985951269824,0.14114659732118184
raw,morgan512,knn1,loocv,0.9373076923076924,1.308259266235981,-0.3461261960804667
raw,morgan512,knn3d,loocv,0.9095501229476436,1.1818467757356241,-0.09855166418413375
raw,morgan512,svr,loocv,0.9152042295545151,1.102241958945754,0.044453083445852415
raw,morgan512,gpr,loocv,1.0195567071209009,1.181270601160897,-0.09748079228936746
raw,morgan512,extra_train,train_fit,0.17679487179489256,0.3682242558062988,0.8933593157211092
raw,morgan512,rf_train,train_fit,0.39494723672159776,0.48349015223447994,0.8161458647666057
raw,morgan512,knn1_train,train_fit,0.21153846153846154,0.5528457845895739,0.7596156765990855
raw,base_graph_morgan512,extra,loocv,0.826550480769234,1.0928068882376438,0.06074182322524557
raw,base_graph_morgan512,rf,loocv,0.8703642605311352,1.0157600783672571,0.18851514833015226
raw,base_graph_morgan512,knn1,loocv,0.9434615384615385,1.31192313330176,-0.3536765858221007
raw,base_graph_morgan512,knn3d,loocv,0.8741870448032609,1.1633930335463663,-0.06451320886660095
raw,base_graph_morgan512,svr,loocv,0.9147492347906259,1.0959636044177057,0.05530764474311378
raw,base_graph_morgan512,gpr,loocv,1.0064730231774557,1.1705800579202157,-0.07770619479872365
raw,base_graph_morgan512,extra_train,train_fit,0.17679487179489256,0.3682242558062988,0.8933593157211092
raw,base_graph_morgan512,rf_train,train_fit,0.39255501053112185,0.47875548935222006,0.8197290821087648
raw,base_graph_morgan512,knn1_train,train_fit,0.21153846153846154,0.5528457845895739,0.7596156765990855
raw,morgan512,tanimoto_krr_0.001,loocv,0.7928523446420422,1.0785114498666553,0.0851547087544553
