stage,remaining_unique_compounds
start_similarity_window_library,2255
stage1_alert_free_pains_brenk_nih,505
stage2_measured_parent_and_parent_pIC50_ge_4p5,344
stage3_lead_like_property_window,152
stage4_developability_admet_proxies,124
stage5_similarity_sweet_spot,69
