model,feature_set,mae,rmse,r2
knn_k1_distance,descriptors,0.751578947368421,1.3031540685259704,-0.286468051816803
knn_k1_uniform,descriptors,0.751578947368421,1.3031540685259704,-0.286468051816803
knn_k1_distance,morgan_512,0.7789473684210527,1.2414507642270796,-0.16752577535923519
knn_k1_uniform,morgan_512,0.7789473684210527,1.2414507642270796,-0.16752577535923519
knn_k1_distance,descriptors_plus_morgan_1024,0.8531578947368421,1.3280951931639777,-0.33618282940963695
knn_k1_distance,descriptors_plus_morgan_2048,0.8531578947368421,1.3280951931639777,-0.33618282940963695
knn_k1_distance,descriptors_plus_similarity_plus_morgan_1024,0.8531578947368421,1.3280951931639777,-0.33618282940963695
knn_k1_distance,descriptors_plus_similarity_plus_morgan_2048,0.8531578947368421,1.3280951931639777,-0.33618282940963695
knn_k1_distance,morgan_1024,0.8531578947368421,1.3280951931639777,-0.33618282940963695
knn_k1_distance,morgan_2048,0.8531578947368421,1.3280951931639777,-0.33618282940963695
knn_k1_uniform,descriptors_plus_morgan_1024,0.8531578947368421,1.3280951931639777,-0.33618282940963695
knn_k1_uniform,descriptors_plus_morgan_2048,0.8531578947368421,1.3280951931639777,-0.33618282940963695
knn_k1_uniform,descriptors_plus_similarity_plus_morgan_1024,0.8531578947368421,1.3280951931639777,-0.33618282940963695
knn_k1_uniform,descriptors_plus_similarity_plus_morgan_2048,0.8531578947368421,1.3280951931639777,-0.33618282940963695
knn_k1_uniform,morgan_1024,0.8531578947368421,1.3280951931639777,-0.33618282940963695
knn_k1_uniform,morgan_2048,0.8531578947368421,1.3280951931639777,-0.33618282940963695
knn_k1_distance,descriptors_plus_similarity_plus_morgan_512,0.8905263157894736,1.3729031859147012,-0.4278655073106079
knn_k1_distance,descriptors_plus_morgan_512,0.8905263157894737,1.3729031859147012,-0.4278655073106079
knn_k1_uniform,descriptors_plus_morgan_512,0.8905263157894737,1.3729031859147012,-0.4278655073106079
knn_k1_uniform,descriptors_plus_similarity_plus_morgan_512,0.8905263157894737,1.3729031859147012,-0.4278655073106079
knn_k3_distance,morgan_2048,0.8910953560225596,1.1280526918351648,0.03602393820981675
knn_k3_uniform,morgan_2048,0.8956140350877192,1.1257665354760111,0.0399272431979415
knn_k3_distance,descriptors_plus_morgan_2048,0.9127047457993119,1.1398768038974452,0.015709465071781614
elastic_net_a0.5_l10.2,descriptors_plus_morgan_512,0.9199192032990064,1.1486317329119964,0.0005315316713500051
elastic_net_a0.5_l10.2,descriptors_plus_similarity_plus_morgan_512,0.919919310275581,1.1486318399492175,0.0005313453969694182
knn_k3_distance,descriptors_plus_similarity_plus_morgan_1024,0.9206243630491328,1.147503651511713,0.0024937413197072544
knn_k3_uniform,descriptors_plus_morgan_512,0.9207017543859649,1.074754970034582,0.12496303216544347
knn_k3_uniform,descriptors_plus_similarity_plus_morgan_512,0.9221052631578949,1.1148088761798396,0.05852603939187995
knn_k3_uniform,descriptors_plus_morgan_2048,0.9247368421052632,1.1472736561541292,0.0028935636936553433
knn_k3_distance,descriptors_plus_morgan_512,0.9256565450605019,1.0870377401691256,0.10484813349031519
elastic_net_a0.01_l10.2,descriptors_plus_morgan_2048,0.9256967311790669,1.1633086691816006,-0.025173581474513096
elastic_net_a0.01_l10.2,descriptors_plus_similarity_plus_morgan_2048,0.9257127632322892,1.163312563100895,-0.02518044457108548
knn_k3_distance,descriptors_plus_similarity_plus_morgan_512,0.9269911979661349,1.124879289932729,0.04143996289095031
knn_k3_distance,morgan_1024,0.9282491396954299,1.1880779309568672,-0.06929450342438326
elastic_net_a0.05_l10.2,descriptors_plus_morgan_2048,0.9295490006964435,1.1647229156857608,-0.02766772510116211
elastic_net_a0.05_l10.2,descriptors_plus_similarity_plus_morgan_2048,0.9295521335311818,1.1647231433929008,-0.02766812692600551
knn_k3_uniform,descriptors_plus_similarity_plus_morgan_1024,0.9314035087719298,1.152472298001483,-0.006163287636380188
knn_k3_uniform,morgan_1024,0.9314035087719299,1.1845301582933347,-0.06291790207550574
