parent_id,parent_smiles,product_smiles,generation_depth,transform,max_tanimoto_to_any_original,nearest_original_id,nearest_original_smiles,mw,logp,tpsa,hbd,hba,rotb,rings,fsp3,formal_charge,qed,sa_score,alert_count,nearest_parent_pIC50,sim,sim_score,potency_score,qed_score,sa_norm,logp_score,tpsa_score,mw_score,composite_score
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cn3)CC2)cn1,1,heteroatom_CH_to_N,0.7895,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,438.89300000000014,1.5127000000000002,129.56,2,6,6,3,0.3333333333333333,0,0.6986295129134582,2.4526768873331903,0,5.15,0.7895,0.8025000000000001,1.0,0.6986295129134582,0.843621967809483,0.41486363636363655,0.18981818181818177,0.8888647058823521,0.7915715239573227
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)ccnc2c1=O,1,heteroatom_CH_to_N,0.7727,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,430.8480000000001,1.7871,123.41,2,6,8,3,0.25,0,0.557896865336517,2.4459031536173104,0,5.1,0.7727,0.8864999999999997,0.9655172413793098,0.557896865336517,0.8416866153192315,0.5395909090909092,0.3016363636363637,0.9361882352941169,0.7897074511110851
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1cccnc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,1,heteroatom_CH_to_N,0.7761,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,430.84800000000007,1.7870999999999995,123.41,2,6,8,3,0.25,0,0.5578968653365172,2.461036670100828,0,5.1,0.7761,0.8694999999999999,0.9655172413793098,0.5578968653365172,0.8460104771716652,0.539590909090909,0.3016363636363637,0.9361882352941172,0.7861060303889501
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(=O)N2CCCC2)nc2c(Cl)cccc2c1=O,1,rxn_acid_to_amide_pyrrolidine,0.7941,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,482.9680000000003,2.9299000000000017,93.53,1,5,8,4,0.36,0,0.5325078524424172,2.340410592819527,0,5.1,0.7941,0.7794999999999999,0.9655172413793098,0.5325078524424172,0.8115458836627221,0.9409545454545446,0.8449090909090908,0.6295999999999982,0.7852609452009008
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccnnc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,2,heteroatom_CH_to_N,0.7391,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,431.8360000000001,1.1821,136.3,2,7,8,3,0.2631578947368421,0,0.5421878639411681,2.6541427140568707,0,5.1,0.7391,0.9454999999999999,0.9655172413793098,0.5421878639411681,0.9011836325876773,0.2645909090909092,0.06727272727272704,0.9303764705882346,0.7844814333688062
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(=O)N2CCCCC2)nc2c(Cl)cccc2c1=O,1,rxn_acid_to_amide_piperidine,0.7826,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,496.99500000000035,3.320000000000002,93.53,1,5,8,4,0.38461538461538464,0,0.516068155532511,2.3632289858662503,0,5.1,0.7826,0.8370000000000002,0.9655172413793098,0.516068155532511,0.8180654245332144,0.7636363636363627,0.8449090909090908,0.5470882352941155,0.7843344396232903
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1cncnc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,2,heteroatom_CH_to_N,0.7391,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,431.8360000000001,1.1821,136.3,2,7,8,3,0.2631578947368421,0,0.5421878639411681,2.6470432635074204,0,5.1,0.7391,0.9454999999999999,0.9655172413793098,0.5421878639411681,0.8991552181449772,0.2645909090909092,0.06727272727272704,0.9303764705882346,0.7841771712024012
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,CNC(=O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,1,rxn_acid_to_amide_methylamine,0.807,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,450.94800000000026,1.7791000000000003,108.47,2,5,6,3,0.35,0,0.6968910512994899,2.2801086481228054,0,5.15,0.807,0.7149999999999997,1.0,0.6968910512994899,0.7943167566065159,0.5359545454545458,0.5732727272727273,0.817952941176469,0.7836347344460625
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ncncc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,2,heteroatom_CH_to_N,0.7391,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,431.8360000000001,1.1821,136.3,2,7,8,3,0.2631578947368421,0,0.5421878639411681,2.6062993074634644,0,5.1,0.7391,0.9454999999999999,0.9655172413793098,0.5421878639411681,0.8875140878467042,0.2645909090909092,0.06727272727272704,0.9303764705882346,0.7824310016576602
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cnnc2c1=O,2,heteroatom_CH_to_N,0.7353,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,431.8360000000001,1.1821,136.3,2,7,8,3,0.2631578947368421,0,0.5421878639411681,2.620521285485445,0,5.1,0.7353,0.9264999999999998,0.9655172413793098,0.5421878639411681,0.8915775101386986,0.2645909090909092,0.06727272727272704,0.9303764705882346,0.7782905150014593
