stage,remaining_unique_compounds
start_similarity_window_library,2255
stage1_alert_free_pains_brenk_nih,505
stage2_lead_like_core_properties,374
stage3_veber_surface_area_flexibility,367
stage4_admet_proxy_qed_charge_similarity_focus,274
