mw,logp,tpsa,hbd,hba,rot,rings,hac,fsp3,bertz,balaban,chi0v,chi1v,chi2v,kappa1,kappa2,kappa3,product_smiles,parent_ids,primary_parent_id,methods,transforms,n_unique_parents,n_unique_methods,is_original_positive,labute_asa,formal_charge,qed,pains_brenk_alerts,scaffold,lipinski_violations,pred_pIC50,pred_ic50_uM,descriptor_ad_distance,AMES,hERG,ClinTox,DILI,HIA_Hou,Bioavailability_Ma,Pgp_Broccatelli,Caco2_Wang,Solubility_AqSolDB,Lipophilicity_AstraZeneca,max_similarity_to_existing,max_similarity_to_znf_reference,novelty_score,admet_score,property_score,orthogonal_composite_score
429.8600000000001,2.3921,110.52000000000001,2.0,5.0,8.0,3.0,30.0,0.23809523809523808,1159.0772686514636,1.882428761497458,16.978406376456583,9.565087493684452,6.94484699500563,21.322018502389824,9.405173832979589,4.773225734326349,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CHEMBL5410606,CHEMBL5410606,original_positive,original_positive,1,1,True,176.6194977988847,0.0,0.5684951135446357,0,O=C(Cn1cnc2ccccc2c1=O)NCc1ccccc1,0,5.099999999999945,7.943282347243828,0.46501504255694903,0.12837484,0.22543581,0.2563103,0.8632821,0.86983454,0.86100894,0.10241632,-5.2183647,-3.4557037,0.045088172,1.0,0.18681318681318682,0.42512928248222365,0.33889964,0.5952835397760099,0.7123341389198619
413.4050000000001,1.8778,110.52000000000001,2.0,5.0,8.0,3.0,30.0,0.23809523809523808,1159.0772686514636,1.882428761497458,16.222477430438126,9.187123020675223,6.537646868265024,20.970808207377242,9.165435361290074,4.622941876611783,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(F)cccc2c1=O,CHEMBL5410606,CHEMBL5410606,matched_molecular_pair_expansion,aryl_Cl_to_F,1,1,False,170.48176697492926,0.0,0.5834674883208161,0,O=C(Cn1cnc2ccccc2c1=O)NCc1ccccc1,0,5.019233333333298,9.566799379015553,0.566173149171565,0.12792721,0.16068372,0.25669017,0.8306179,0.8678567,0.86914957,0.057977773,-5.2307224,-3.1950078,-0.28472883,0.8125,0.20224719101123595,0.5503684027050119,0.39708182,0.5332662372839522,0.6541585209879959
332.4000000000001,3.004380000000001,84.46000000000001,2.0,2.0,7.0,2.0,24.0,0.4444444444444444,783.5293608660816,2.3994666514675136,14.588478626053002,8.005084350889629,6.177262346866927,17.847654320987655,6.94597905992426,3.526952041220769,Cc1cc(-n2c(C)cc(CCC(=O)O)c2C)c(C)n1CCC(=O)O,CHEMBL5276142;CHEMBL5410606;[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,fragment_growing;r_group_enumeration;scaffold_hopping,alternate_core_with_parent_sidechains;core_plus_one_side_fragment;fixed_core_with_swapped_side_fragments,3,3,False,140.8876939892259,0.0,0.8160943428445123,0,c1ccn(-c2cc[nH]c2)c1,0,4.875833333333324,13.309650967135807,0.7993426143978313,0.06805055,0.06755293,0.17836033,0.15506071,0.7153047,0.82154906,0.006322297,-5.4501486,-2.5696654,-1.3219032,0.22950819672131148,0.18571428571428572,0.9735046611607459,0.5504281,0.6558642184296752,0.6081554280686707
332.4000000000001,3.139680000000001,84.46000000000001,2.0,2.0,7.0,2.0,24.0,0.4444444444444444,717.2793608660814,2.3863374430058846,14.588478626053002,7.994151928563213,6.160361563201438,17.847654320987655,6.94597905992426,3.526952041220769,Cc1cc(-c2cc(C)n(CCC(=O)O)c2C)c(C)n1CCC(=O)O,CHEMBL5276142;CHEMBL5410606;[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,fragment_growing;r_group_enumeration;scaffold_hopping,alternate_core_with_parent_sidechains;core_plus_one_side_fragment;fixed_core_with_swapped_side_fragments,3,3,False,140.88769398922588,0.0,0.8155731338158498,0,c1cc(-c2cc[nH]c2)c[nH]1,0,4.874316666666655,13.35621290546976,0.8048705455541814,0.09324416,0.11272049,0.21442392,0.17717685,0.75806195,0.8212531,0.0101246005,-5.447102,-2.762362,-1.1752646,0.22641509433962265,0.21666666666666667,0.9595220588235295,0.49547622,0.6405520316825116,0.5900786201656878
430.84800000000007,1.7870999999999995,123.41,2.0,6.0,8.0,3.0,30.0,0.25,1161.6322601342338,1.882428761497458,16.848269702766917,9.414818606512107,6.8205219907527646,21.253710800170307,9.358419759492534,4.743847744082082,COc1ccncc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CHEMBL5410606,CHEMBL5410606,heteroatom_walks,aromatic_CH_to_N,1,1,False,175.83914577983123,0.0,0.5578968653365172,0,O=C(Cn1cnc2ccccc2c1=O)NCc1cccnc1,0,4.876136111111082,13.300375090322776,0.5682509641658181,0.030339103,0.17761558,0.24505787,0.93254244,0.9583853,0.87462217,0.056722086,-5.4642205,-2.746261,-0.7418679,0.8181818181818182,0.19148936170212766,0.5519528984401234,0.53728276,0.4685704632007501,0.5723719706707904
430.84800000000007,1.7870999999999995,123.41,2.0,6.0,8.0,3.0,30.0,0.25,1161.6322601342338,1.882428761497458,16.848269702766917,9.424884713253444,6.804802676280008,21.253710800170307,9.358419759492534,4.743847744082082,COc1ncccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CHEMBL5410606,CHEMBL5410606,heteroatom_walks,aromatic_CH_to_N,1,1,False,175.83914577983123,0.0,0.5578968653365172,0,O=C(Cn1cnc2ccccc2c1=O)NCc1cccnc1,0,4.876136111111082,13.300375090322776,0.5685131455866984,0.07356487,0.07308127,0.18753459,0.914842,0.85868996,0.8743251,0.021602422,-5.358005,-3.0198593,-0.39366055,0.7878787878787878,0.1956521739130435,0.5713213201505417,0.51613253,0.4685704632007501,0.5719365628365399
430.84800000000007,1.7870999999999995,123.41,2.0,6.0,8.0,3.0,30.0,0.25,1161.6322601342338,1.882428761497458,16.848269702766917,9.424884713253444,6.785356451336725,21.253710800170307,9.358419759492534,4.743847744082082,COc1cccnc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CHEMBL5410606,CHEMBL5410606,heteroatom_walks,aromatic_CH_to_N,1,1,False,175.83914577983123,0.0,0.5578968653365172,0,O=C(Cn1cnc2ccccc2c1=O)NCc1ccccn1,0,4.876119444444416,13.300885520873855,0.5690436474542712,0.08536762,0.07065262,0.20411296,0.89934874,0.84235555,0.87391806,0.01787953,-5.3859715,-2.766538,-0.7866611,0.7761194029850746,0.1935483870967742,0.5807818033680351,0.5072511,0.4685704632007501,0.5718804413311253
430.84800000000007,1.7870999999999995,123.41,2.0,6.0,8.0,3.0,30.0,0.25,1161.6322601342338,1.882428761497458,16.848269702766917,9.414818606512107,6.820521990752765,21.253710800170307,9.358419759492534,4.743847744082082,COc1cnccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CHEMBL5410606,CHEMBL5410606,heteroatom_walks,aromatic_CH_to_N,1,1,False,175.83914577983123,0.0,0.5578968653365172,0,O=C(Cn1cnc2ccccc2c1=O)NCc1ccncc1,0,4.876136111111082,13.300375090322776,0.5682509641658181,0.032630086,0.20455292,0.24767013,0.92865723,0.9473156,0.8433027,0.09719068,-5.47258,-2.8323996,-0.72085583,0.8181818181818182,0.19148936170212766,0.5519528984401234,0.47266117,0.4685704632007501,0.5594476496749827
430.8480000000001,1.7871000000000001,123.41,2.0,6.0,8.0,3.0,30.0,0.25,1161.6322601342338,1.882428761497458,16.848269702766917,9.414818606512108,6.826333660189569,21.253710800170307,9.358419759492534,4.743847744082082,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cncc2c1=O,CHEMBL5410606,CHEMBL5410606,heteroatom_walks,aromatic_CH_to_N,1,1,False,175.83914577983126,0.0,0.557896865336517,0,O=C(Cn1cnc2ccncc2c1=O)NCc1ccccc1,0,4.876852777777748,13.27844509703619,0.5680943153178223,0.06388209,0.17862648,0.26986605,0.940581,0.93248177,0.8826523,0.06913977,-5.4789667,-3.3394706,-0.47532216,0.8153846153846154,0.1956521739130435,0.55176534766774,0.4547165,0.46857046320075,0.5563845157641683
323.73199999999997,2.0991,94.91000000000001,2.0,4.0,5.0,2.0,22.0,0.26666666666666666,665.0153092724224,2.44901516831495,12.501243985240372,6.9268370590523896,5.351277030377439,16.037850394859284,6.190827981408363,2.9648719734803675,CC(=O)C1=C(O)C(=O)N(CCC(=O)O)C1c1ccc(Cl)cc1,CHEMBL4129140,CHEMBL4129140,r_group_enumeration,fixed_core_with_swapped_side_fragments,1,1,False,131.15658166496132,0.0,0.8648816799266336,0,O=C1C=CC(c2ccccc2)N1,0,4.908488888888875,12.34556900014629,0.9625762925386308,0.03222319,0.029863771,0.09650834,0.77228445,0.8012558,0.85414064,0.01023641,-5.039167,-1.895941,-0.94424134,0.5272727272727272,0.2571428571428571,0.724458905513425,0.66053534,0.6522144496811836,0.5543086482029681
