mw,logp,tpsa,hbd,hba,rot,rings,hac,fsp3,bertz,balaban,chi0v,chi1v,chi2v,kappa1,kappa2,kappa3,product_smiles,parent_ids,primary_parent_id,methods,transforms,n_unique_parents,n_unique_methods,is_original_positive,labute_asa,formal_charge,qed,pains_brenk_alerts,scaffold,lipinski_violations,pred_final_extratrees_trainfit,pred_random_forest_loocv_best,pred_knn_k5_distance,pred_elastic_net_conservative,pred_pIC50_consensus,pred_pIC50_std,pred_ic50_uM_consensus,descriptor_ad_distance,potency_support_score,AMES,hERG,ClinTox,DILI,HIA_Hou,Bioavailability_Ma,Pgp_Broccatelli,Caco2_Wang,Solubility_AqSolDB,Lipophilicity_AstraZeneca,best_binding_score,mean_top2_binding_score,best_shape_tanimoto,best_pharmacophore_score,min_clash_count,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,admet_score,property_score,binding_component,robust_composite_score
429.8600000000001,2.3921,110.52000000000001,2.0,5.0,8.0,3.0,30.0,0.23809523809523808,1159.0772686514636,1.882428761497458,16.978406376456583,9.565087493684452,6.94484699500563,21.322018502389824,9.405173832979589,4.773225734326349,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CHEMBL5410606,CHEMBL5410606,original_positive,original_positive,1,1,True,176.6194977988847,0.0,0.5684951135446357,0,O=C(Cn1cnc2ccccc2c1=O)NCc1ccccc1,0,5.099999999999945,4.777300000000007,5.1,4.133511575356016,4.777702893838992,0.39456731568002595,16.683881869713233,0.46501504255694903,0.7439043383867777,0.128374844789505,0.22543580830097198,0.2563103139400482,0.8632820844650269,0.8698345422744751,0.8610089421272278,0.10241632163524628,-5.218364715576172,-3.4557037353515625,0.04508817195892334,0.35034339457567804,0.3264492180622758,0.3987204724409449,0.2777777777777778,0,0.3987204724409449,0.2777777777777778,0,0.35034339457567804,0.3561102544333077,0.2222222222222222,0,0.30255504154887347,0.2913200723327306,0.10526315789473684,0,0.2168973065575331,0.35366910035886645,0.19230769230769232,0,0.2891245371383968,0.3523867130279541,0.5952835397760099,0.14584889111876978,0.5310231510576374
343.7660000000001,3.534600000000002,77.84,2.0,4.0,3.0,3.0,24.0,0.1111111111111111,840.3274117426702,2.160158001760624,13.488183209161917,7.597905760006245,5.900544243803527,16.08136890177743,6.015739103739231,2.630513447978983,CC(=O)C1=C(O)C(=O)N(c2ccc(O)cc2)C1c1ccc(Cl)cc1,CHEMBL4129140,CHEMBL4129140,r_group_enumeration,fixed_core_with_swapped_side_fragments,1,1,False,142.95732742779177,0.0,0.8932133822080256,0,O=C1C=CC(c2ccccc2)N1c1ccccc1,0,4.869733333333328,4.8009499999999985,4.7769931032201045,4.283928783174933,4.6829013049320904,0.232848685236837,20.75385103002846,0.8457512871535129,0.7665280962788046,0.0934922993183136,0.22383037209510803,0.06097050756216049,0.9216026067733765,0.9895467758178711,0.7979656457901001,0.21514272689819336,-4.834724426269531,-3.5973610877990723,2.02547550201416,0.3545055615525414,0.34129607730131906,0.44981696156192796,0.46153846153846156,0,0.3918815975623028,0.08333333333333333,0,0.268462291870715,0.4171813587871982,0.19444444444444445,0,0.3280865930500967,0.4036407237846087,0.10526315789473684,0,0.28428969742865995,0.44981696156192796,0.46153846153846156,1,0.3545055615525414,0.5035945773124695,0.5179866938777209,0.2056670811895307,0.5281696842333954
327.76700000000005,3.8290000000000024,57.61,1.0,3.0,3.0,3.0,23.0,0.1111111111111111,796.7762277710756,2.1713912870377996,13.118319882851585,7.463615359733307,5.7196956232459915,15.311239944158608,5.893593272736996,2.6174787647025877,CC(=O)C1=C(O)C(=O)N(c2ccccc2)C1c1ccc(Cl)cc1,CHEMBL4129140,CHEMBL4129140,r_group_enumeration,fixed_core_with_swapped_side_fragments,1,1,False,138.16309367559572,0.0,0.9317198151820423,0,O=C1C=CC(c2ccccc2)N1c1ccccc1,0,4.850116666666653,4.671499999999999,4.890226009285747,4.257713748763244,4.667389106178911,0.25044782124711595,21.508538135310733,0.9358539349089277,0.7452910997387238,0.04423075169324875,0.17575648427009583,0.03883134573698044,0.9364951252937317,0.9982659220695496,0.8940068483352661,0.3222201466560364,-4.518442630767822,-3.9372544288635254,2.3144562244415283,0.36351388972946796,0.32271683050131633,0.4648308418568057,0.46153846153846156,0,0.3066473089287566,0.1388888888888889,0,0.2395439409128095,0.38626992087373235,0.1111111111111111,0,0.2762063969686838,0.3996908468587833,0.10526315789473684,0,0.2819197712731647,0.4648308418568057,0.46153846153846156,1,0.36351388972946796,0.6255089640617371,0.39465819411375846,0.21126869380072316,0.5142213294653206
420.80500000000006,1.629600000000001,124.45,2.0,7.0,5.0,3.0,29.0,0.2631578947368421,996.3149557815165,2.1997556374786806,16.42809086848459,8.818741973527871,6.899097400917669,20.56134085353958,7.339760061182604,3.0791900826587852,COC1C(C(C)=O)=C(O)C(=O)N1C1C(C(C)=O)=C(O)C(=O)N1c1ccc(Cl)cc1,CHEMBL4129140,CHEMBL4129140,r_group_enumeration,fixed_core_with_swapped_side_fragments,1,1,False,169.95581693658826,0.0,0.7411859423506146,0,O=C1C=CCN1C1C=CC(=O)N1c1ccccc1,0,4.615450000000003,4.5111,4.728255452409053,4.228751491532154,4.520889235985302,0.1853259133798448,30.13774569998369,0.7063615046371937,0.7637323271443398,0.03423019126057625,0.034546948969364166,0.035199880599975586,0.9695579409599304,0.8196091651916504,0.836665153503418,0.048837482929229736,-4.897406578063965,-2.6245129108428955,0.43587398529052734,0.33759571991586856,0.32950306490634085,0.4088133793469605,0.2777777777777778,0,0.2950666791009978,0.2777777777777778,0,0.28815111857170983,0.406054386865059,0.19444444444444445,0,0.3214104098968132,0.36126520681265206,0.23684210526315788,0,0.3114959661928544,0.4088133793469605,0.23076923076923078,0,0.33759571991586856,0.6141143441200256,0.5758211577484666,0.1420543122921701,0.4989834614681542
320.7760000000002,2.5096000000000007,60.85,1.0,4.0,3.0,3.0,22.0,0.375,647.859694240991,2.0557036720889914,13.007209257149604,7.654911044396371,6.023220053370143,15.061393179073523,5.74056939866096,2.401272703146137,CC(=O)C1=C(O)C(=O)N(c2ccc(Cl)cc2)C1N1CCCC1,CHEMBL4129140,CHEMBL4129140,r_group_enumeration,fixed_core_with_swapped_side_fragments,1,1,False,133.3197704437923,0.0,0.9293061656539651,0,O=C1C=CC(N2CCCC2)N1c1ccccc1,0,4.739099999999976,4.635449999999999,4.793309242814825,4.1764022756169155,4.586065379607929,0.24322433748407932,25.937888582767332,0.9440335972649454,0.7280981726786705,0.10134337097406387,0.2918449640274048,0.22857043147087097,0.5521711111068726,0.9906811714172363,0.8820892572402954,0.09558655321598053,-4.489022254943848,-2.8309319019317627,1.4861189126968384,0.4749284961613729,0.37619326486725724,0.48385518590998045,0.46153846153846156,0,0.35131894484412474,0.16666666666666666,0,0.2774580335731415,0.32744905742617414,0.16666666666666666,0,0.2631361011223711,0.3526093088857546,0.15789473684210525,0,0.27472348006829483,0.48385518590998045,0.46153846153846156,0,0.4749284961613729,0.5079013705253601,0.4905298689875977,0.3294833716548255,0.48442857943189577
430.8480000000001,1.7871000000000001,123.41,2.0,6.0,8.0,3.0,30.0,0.25,1161.6322601342338,1.882428761497458,16.848269702766917,9.414818606512108,6.826333660189569,21.253710800170307,9.358419759492534,4.743847744082082,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cncc2c1=O,CHEMBL5410606,CHEMBL5410606,heteroatom_walks,aromatic_CH_to_N,1,1,False,175.83914577983126,0.0,0.557896865336517,0,O=C(Cn1cnc2ccncc2c1=O)NCc1ccccc1,0,4.875216666666636,4.754150000000003,4.4755507525963525,4.1326055981999765,4.559380754365741,0.2858548082772293,27.581586648919323,0.5680943153178223,0.7353467239898167,0.06388209015130997,0.17862647771835327,0.26986604928970337,0.9405810236930847,0.9324817657470703,0.8826522827148438,0.06913977116346359,-5.47896671295166,-3.339470624923706,-0.4753221571445465,0.4151423631628477,0.4009588022818199,0.4038846615939127,0.4444444444444444,0,0.3956076423084499,0.4444444444444444,0,0.4151423631628477,0.4038846615939127,0.3611111111111111,0,0.38677524140079206,0.2925440578400361,0.18421052631578946,0,0.24921064523033742,0.2668064779214727,0.4230769230769231,1,0.22931465598365283,0.4532613456249237,0.46857046320075,0.2551580269507282,0.4780199446108222
