model,mae,rmse,r2
final_extratrees_trainfit,0.7816087719298213,0.9746912632195337,0.28031637159549727
random_forest_loocv_best,0.9610026315789475,1.1159256814176155,0.056638774703046346
knn_k5_distance,1.0235817305544967,1.1861575529805544,-0.06584053800665557
elastic_net_conservative,1.108896080384631,1.2198468085426484,-0.12724434551303165
