parent_id,parent_smiles,product_smiles,generation_depth,transform,max_tanimoto_to_any_original,nearest_original_id,nearest_original_smiles,parent_pIC50,target_origin,has_measured_row,duplicate_conflict,mw,logp,tpsa,hbd,hba,rotb,rings,fsp3,formal_charge,qed,sa_score,alert_count,sim,potency_score,sim_score,qed_score,sa_norm,mw_score,logp_score,tpsa_score,rot_score,conflict_penalty,composite_score
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CNC(=O)CCc1nc2c(Cl)cccc2c(=O)n1CC(=O)NCc1ccncc1OC,2,rxn_acid_to_amide_methylamine,0.7042,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,5.1,measured_median,True,False,443.89100000000025,1.4484999999999992,115.21000000000001,2,6,8,3,0.2857142857142857,0,0.5441259383969728,2.524345082912742,0,0.7042,1.0,0.647692307692308,0.5441259383969728,0.8828967219418278,0.8009083333333313,0.20499999999999963,0.4225714285714284,0.5,0.0,0.7049019879986866
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CNC(=O)CCc1nc2c(Cl)cccc2c(=O)n1CC(=O)NCc1cnccc1OC,2,rxn_acid_to_amide_methylamine,0.7042,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,5.1,measured_median,True,False,443.89100000000025,1.4484999999999992,115.21000000000001,2,6,8,3,0.2857142857142857,0,0.5441259383969728,2.510381157183298,0,0.7042,1.0,0.647692307692308,0.5441259383969728,0.8735874381221986,0.8009083333333313,0.20499999999999963,0.4225714285714284,0.5,0.0,0.7037848739403312
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,O=C(NCC(=O)N1CCCC1)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,1,rxn_acid_to_amide_pyrrolidine,0.7931,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,5.15,measured_median,True,True,491.0130000000003,2.655500000000001,99.68,1,5,6,4,0.43478260869565216,0,0.6706475911052017,2.3307191141378905,0,0.7931,0.9374999999999991,0.6684615384615382,0.6706475911052017,0.7538127427585936,0.4082249999999974,0.9150000000000006,0.8662857142857141,1.0,-0.05,0.7035224197057912
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(F)cccc2c1=O,1,mmp_aryl_Cl_to_F,0.8125,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,5.1,measured_median,True,False,413.4050000000001,1.8778,110.52000000000001,2,5,8,3,0.23809523809523808,0,0.5834674883208161,2.238667439331598,0,0.8125,1.0,0.5192307692307693,0.5834674883208161,0.6924449595543987,0.9450416666666673,0.45752941176470596,0.5565714285714283,0.5,0.0,0.6971328150761645
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CNC(=O)CCc1nc2c(Cl)cncc2c(=O)n1CC(=O)NCc1ccccc1OC,2,rxn_acid_to_amide_methylamine,0.7,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,5.1,measured_median,True,False,443.89100000000025,1.4484999999999997,115.21,2,6,8,3,0.2857142857142857,0,0.5441259383969728,2.494580626679321,0,0.7,1.0,0.615384615384615,0.5441259383969728,0.8630537511195472,0.8009083333333313,0.20499999999999985,0.4225714285714287,0.5,0.0,0.6954131391923205
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1cnccc1CNC(=O)Cn1c(CCC(N)=O)nc2c(Cl)cccc2c1=O,2,bioisostere_acid_to_amide,0.7042,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,5.1,measured_median,True,False,429.86400000000015,1.1877999999999995,129.20000000000002,2,6,8,3,0.25,0,0.5528836206654628,2.5021251316392874,0,0.7042,1.0,0.647692307692308,0.5528836206654628,0.8680834210928582,0.9177999999999988,0.05164705882352916,0.022857142857142354,0.5,0.0,0.6872030506155028
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccncc1CNC(=O)Cn1c(CCC(N)=O)nc2c(Cl)cccc2c1=O,2,bioisostere_acid_to_amide,0.7042,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,5.1,measured_median,True,False,429.86400000000015,1.1877999999999995,129.20000000000002,2,6,8,3,0.25,0,0.5528836206654628,2.487662494276652,0,0.7042,1.0,0.647692307692308,0.5528836206654628,0.8584416628511011,0.9177999999999988,0.05164705882352916,0.022857142857142354,0.5,0.0,0.6860460396264919
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cn3)CC2)cn1,1,heteroatom_CH_to_N,0.7895,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,5.15,measured_median,True,True,438.89300000000014,1.5127000000000002,129.56,2,6,6,3,0.3333333333333333,0,0.6986295129134582,2.4526768873331903,0,0.7895,0.9374999999999991,0.6961538461538463,0.6986295129134582,0.8351179248887934,0.8425583333333322,0.2427647058823531,0.012571428571428456,1.0,-0.05,0.6848215965797695
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Br)cncc2c1=O,2,heteroatom_CH_to_N,0.7101,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,5.1,measured_median,True,False,475.2990000000001,1.8961999999999999,123.41,2,6,8,3,0.25,0,0.5102221348676661,2.4822624942766502,0,0.7101,1.0,0.6930769230769227,0.5102221348676661,0.8548416628511001,0.5391749999999993,0.46835294117647064,0.1882857142857144,0.5,0.0,0.6833308690801088
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(N)=O)nc2c(F)cccc2c1=O,2,bioisostere_acid_to_amide,0.6957,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,5.1,measured_median,True,False,412.4210000000001,1.2784999999999997,116.31,2,5,8,3,0.23809523809523808,0,0.5781570389858978,2.2799866701008273,0,0.6957,1.0,0.5823076923076922,0.5781570389858978,0.7199911134005514,0.9368416666666676,0.10499999999999998,0.3911428571428571,0.5,0.0,0.6831162024570296
