stage,remaining_unique_compounds
start_broad_enumeration_plus_original_positives,3274
stage1_consensus_potency_and_uncertainty,2584
stage2_pains_brenk_free,1664
stage3_lipinski_psa_surface_area_flexibility,172
stage4_admet_ai_multigate,34
stage5_multistructure_template_docking_strict,4
stage5b_multistructure_template_docking_relaxed,5
