name,smiles,score
cmpd_61,CC(=O)C1=C(O)C(=O)N(c2ccc(O)cc2)C1N1CCCC1,-5.9
cmpd_62,COc1ccccc1-c1ccc(O)cc1,-5.2
cmpd_63,COc1cc2nccc(OC)c2s1,-4.1
cmpd_64,COC1C(C(C)=O)=C(O)C(=O)N1C1C(C(C)=O)=C(O)C(=O)N1c1ccccc1,-6.1
cmpd_65,N#Cc1ccc(-c2ccc(O)cc2)cc1,-5.4
cmpd_66,C[C@H]1CNCC[C@H]1n1cc(-c2cn(-c3ccc(F)cc3)nn2)nn1,-6.8
cmpd_67,COc1cc2nccc(-c3ccc(Cl)cc3)c2s1,-6.1
cmpd_68,C[C@H]1CNCC[C@H]1c1cn(-c2cn(-c3ccc(F)cc3)nn2)nn1,-6.9
cmpd_69,CCOc1c(O)c(-c2ccc(O)cc2)c(C)c(C)c1-c1ccc(O)cc1,-6.3
cmpd_70,COC1C(C(C)=O)=C(O)C(=O)N1C1C(C(C)=O)=C(O)C(=O)N1c1ccc(F)cc1,-5.9
cmpd_71,O=c1c2cccc(Cl)c2nc(-c2ccc(O)cc2)n1-c1ccc(O)cc1,-6.6
cmpd_72,C[C@H]1CNCC[C@H]1n1cc(-c2cn(-c3ccccc3)nn2)nn1,-6.7
cmpd_73,N#Cc1ccc(-c2cn(-c3ccc(Cl)c(Cl)c3)nn2)cc1,-6.2
cmpd_74,N#Cc1ccc(-c2ccc(F)cc2)cc1,-5.7
cmpd_75,C[C@H]1CNCC[C@H]1c1cn(-c2cn(-c3ccccc3)nn2)nn1,-6.8
cmpd_76,Clc1ccc(N2CCCC2)cc1Cl,-4.8
cmpd_77,N#Cc1ccc(-c2ccc(Cl)c(Cl)c2)cc1,-5.7
cmpd_78,N#Cc1ccc(-c2cn(-c3ccc(O)cc3)nn2)cc1,-6.1
cmpd_79,N#Cc1ccc(-c2ccccc2)cc1,-5.4
cmpd_80,Cc1cc(Cl)cc(-c2ccc(O)cc2)c1-c1ccc(O)cc1,-5.9
cmpd_81,Oc1ccc(-c2ccc(O)cc2)cc1,-5.3
