feature,importance
kappa3,0.10251383990139433
kappa2,0.08175964653082143
rot,0.07123943796639622
fsp3,0.06937842077562077
rings,0.06889198468925455
chi2v,0.06543836580651552
logp,0.06509231309706096
chi0v,0.06157933979833076
mw,0.0537964558888029
kappa1,0.05287731000332928
bertz,0.051143886235906
hac,0.04799349462711067
hba,0.04596717072424503
balaban,0.04348941963434981
chi1v,0.041518420623527945
tpsa,0.03971444217333659
hbd,0.03760605152399729
